MRS,FRANCE,MARSEILLE PROVENCE AIRPORT
MRT,AUSTRALIA,MOROAK
MRU,MAURITIUS,SIR SEEWOOSAGUR RAMGOOLAM INT
MRV,RUSSIAN FEDERATION,MINERALNYE VODYJ
MRW,DENMARK,MARIBO
MRX,IRAN,MAHSHAHR
MRY,UNITED STATES,MONTEREY PENINSULA
MRZ,AUSTRALIA,MOREE
MSA,CANADA,MUSKRAT DAM
MSB,GUADELOUPE,MARIGOT SPB
MSC,UNITED STATES,FALCON FIELD
MSD,UNITED STATES,MT PLEASANT
MSE,UNITED KINGDOM,KENT INTERNATIONAL
MSF,AUSTRALIA,MOUNT SWAN
MSG,LESOTHO,MATSAILE
MSH,OMAN,MASIRAH
MSI,INDONESIA,MASALEMBO
MSJ,JAPAN,MISAWA
MSK,BAHAMAS,MASTIC POINT
MSL,UNITED STATES,SHEFFIELD
MSM,ZAIRE,MASI MANIMBA
MSN,UNITED STATES,DANE COUNTY REGIONAL
MSO,UNITED STATES,MISSOULA INTERNATIONAL
MSP,UNITED STATES,MINNEAPOLIS - ST. PAUL INTL
MSQ,BELARUS,MINSK INTERNATIONAL 2
MSR,TURKEY,MUS
MSS,UNITED STATES,RICHARDS FIELD
MST,NETHERLANDS,MAASTRICHT/AACHEN
MSU,LESOTHO,MOSHOESHOE INTL
MSV,UNITED STATES,SULLIVAN COUNTY INTL
MSW,ERITREA,MASSAWA INTERNATIONAL
MSX,CONGO,MOSSENDJO
MSY,UNITED STATES,LOUIS ARMSTRONG NEW ORLEANS INTERNATIONA
MSZ,ANGOLA,NAMIBE
MTA,NEW ZEALAND (AOTEAROA),MATAMATA
MTB,COLOMBIA,MONTE LIBANO
MTC,UNITED STATES,SELFRIDGE ANGB
MTD,AUSTRALIA,MT SANDFORD
MTE,BRAZIL,MONTE ALEGRE
MTF,ETHIOPIA,MIZAN TEFERI
MTG,BRAZIL,MATO GROSSO
MTH,UNITED STATES,MARATHON FLIGHT STRIP
MTI,CAPE VERDE,MOSTEIROS
MTJ,UNITED STATES,MONTROSE REGIONAL AIRPORT
MTK,KIRIBATI,MAKIN ISLAND
MTL,AUSTRALIA,MAITLAND
MTM,UNITED STATES,SPB
MTN,UNITED STATES,GLENN L MARTIN
MTO,UNITED STATES,COLES COUNTY MEMORIAL
MTP,UNITED STATES,MONTAUK AIRPORT
MTQ,AUSTRALIA,MITCHELL
MTR,COLOMBIA,S. JERONIMO
MTS,SWAZILAND,MATSAPHA INTL
MTT,MEXICO,MINATITLAN
MTU,MOZAMBIQUE,MONTEPUEZ
MTV,VANUATU,MOTA LAVA
MTW,UNITED STATES,MUNICIPAL
MTX,UNITED STATES,METRO FIELD
MTY,MEXICO,GEN MARIANO ESCOBEDO
MTZ,ISRAEL,MASADA
MUA,SOLOMON ISLANDS,MUNDA
MUB,BOTSWANA,MAUN
MUC,GERMANY,FRANZ JOSEF STRAUSS
MUD,MOZAMBIQUE,MUEDA
MUE,UNITED STATES,KAMUELA
MUF,INDONESIA,MUTING
MUG,MEXICO,MULEGE
MUH,EGYPT,MERSA MATRUH
MUI,UNITED STATES,MUIR AAF
MUJ,ETHIOPIA,MUI
MUK,COOK ISLANDS,MAUKE ISLAND
MUL,UNITED STATES,SPENCE
MUM,KENYA,MUMIAS
MUN,VENEZUELA,QUIRIQUIRE
MUO,UNITED STATES,AFB
MUP,AUSTRALIA,MULGA PARK
MUQ,AUSTRALIA,MUCCAN
MUR,MALAYSIA,MARUDI
MUS,JAPAN,MARCUS ISLAND
MUT,UNITED STATES,MUSCATINE
MUU,UNITED STATES,MOUNT UNION
MUV,UNITED STATES,MUSTIN ALF
MUW,ALGERIA,MASCARA
MUX,PAKISTAN,MULTAN INTERNATIONAL
MUY,CONGO,MOUYONDZI
MUZ,TANZANIA,MUSOMA
MVA,ICELAND,REYKIAHLID
MVB,GABON,FRANCEVILLE/MVENGUE
MVC,UNITED STATES,MONROE - WALTON COUNTY
MVD,URUGUAY,CARRASCO INTERNATIONAL
MVE,UNITED STATES,MONTEVIDEO-CHIPPEWA
MVF,BRAZIL,DIXSEPT ROSADO
MVG,GABON,MEVANG
MVH,AUSTRALIA,MACKSVILLE
MVI,PAPUA NEW GUINEA,MANETAI
MVJ,JAMAICA,MARLBORO
MVK,AUSTRALIA,MULKA
MVL,UNITED STATES,MORRISVILLE-STOWE
MVM,UNITED STATES,MONUMENT VALLEY
MVN,UNITED STATES,MT VERNON-OUTLAND
MVO,CHAD,MONGO
MVP,COLOMBIA,MITU
MVQ,BELARUS,MOGILEV
MVR,CAMEROON,SALAM
MVS,BRAZIL,AEROPORTO MAX FEFFER
MVT,FRENCH POLYNESIA,MATAIVA
MVU,AUSTRALIA,MUSGRAVE
MVV,FRANCE,MEGEVE
MVW,UNITED STATES,SKAGIT REGIONAL
MVX,GABON,MINVOUL
MVZ,ZIMBABWE,MASVINGO
MWA,UNITED STATES,WILLIAMSON COUNTY
MWB,AUSTRALIA,MORAWA
MWC,UNITED STATES,LAWRENCE J TIMMERMAN
MWD,PAKISTAN,MIANWALI
MWE,SUDAN,MEROWE
MWF,VANUATU,MAEWO
MWG,PAPUA NEW GUINEA,MARAWAKA
MWH,UNITED STATES,GRANT COUNTY
MWI,PAPUA NEW GUINEA,MARAMUNI
MWJ,GUYANA,MATTHEWS RIDGE
MWK,INDONESIA,MATAK
MWL,UNITED STATES,MINERAL WELLS ARPT
MWM,UNITED STATES,WINDOM MUNICIPAL
MWN,TANZANIA,MWADUI
MWO,UNITED STATES,HOOK FIELD
MWP,NEPAL,MOUNTAIN
MWQ,MYANMAR,MAGWE
MWR,SOUTH AFRICA,MOTSWARI AIRFIELD
MWS,UNITED STATES,MOUNT WILSON
MWT,AUSTRALIA,MOOLAWATANA
MWU,PAPUA NEW GUINEA,MUSSAU
MWV,CAMBODIA,MUNDULKIRI
MWW,BELGIUM,MOUSCRON
MWY,AUSTRALIA,MIRANDA DOWNS
MWZ,TANZANIA,MWANZA
MXA,UNITED STATES,MUNICIPAL
MXB,INDONESIA,MASAMBA
MXC,UNITED STATES,SAN JUAN COUNTY
MXD,AUSTRALIA,MARION DOWNS
MXE,UNITED STATES,MAXTON
MXF,UNITED STATES,MAXWELL AFB
MXG,UNITED STATES,MARLBOROUGH
MXH,PAPUA NEW GUINEA,MORO
MXI,PHILIPPINES,IMELDA ROMUALDEZ MARCOS
MXJ,NIGERIA,MINNA
MXK,PAPUA NEW GUINEA,MINDIK
MXL,MEXICO,MEXICALI
MXM,MADAGASCAR,MOROMBE
MXN,FRANCE,MORLAIX
MXO,UNITED STATES,MUNICIPAL
MXP,ITALY,MALPENSA
MXQ,AUSTRALIA,MITCHELL RIVER
MXR,UKRAINE,MIRGOROD
MXS,SAMOA,MAOTA SAVAII IS
MXT,MADAGASCAR,MAINTIRANO
MXU,AUSTRALIA,MULLEWA
MXV,MONGOLIA,MORON
MXW,MONGOLIA,MANDALGOBI
MXX,SWEDEN,MORA
MXY,UNITED STATES,MCCARTHY
MXZ,CHINA,MEIXIAN
MYA,AUSTRALIA,MORUYA
MYB,GABON,MAYOUMBA
MYC,VENEZUELA,MARACAY
MYD,KENYA,MALINDI
MYE,JAPAN,MIYAKE JIMA
MYF,UNITED STATES,MONTGOMERY FIELD
MYG,BAHAMAS,MAYAGUANA
MYH,UNITED STATES,MARBLE CANYON
MYI,AUSTRALIA,MURRAY ISLAND
MYJ,JAPAN,MATSUYAMA
MYK,UNITED STATES,MAY CREEK
MYL,UNITED STATES,MCCALL
MYM,GUYANA,MONKEY MOUNTAIN
MYN,YEMEN,MAREB
MYO,AUSTRALIA,MYROODAH
MYP,TURKMENISTAN,MARY
MYQ,INDIA,MYSORE
MYR,UNITED STATES,MYRTLE BEACH AFB
MYS,ETHIOPIA,MOYALE
MYT,MYANMAR,MYITKYINA
MYU,UNITED STATES,ELLIS FIELD
MYV,UNITED STATES,YUBA COUNTY
MYW,TANZANIA,MTWARA
MYX,PAPUA NEW GUINEA,MENYAMYA
MYY,MALAYSIA,MIRI
MYZ,MALAWI,MONKEY BAY
MZA,INDIA,MUZAFFARNAGAR
MZB,MOZAMBIQUE,MOCIMBOA PRAIA
MZC,GABON,MITZIC
MZD,ECUADOR,MENDEZ
MZE,BELIZE,MANATEE
MZF,SOUTH AFRICA,MZAMBA(WILD COAST SUN)
MZG,TAIWAN,MAKUNG
MZH,TURKEY,MERZIFON
MZI,MALI,MOPTI
MZJ,UNITED STATES,MARANA
MZK,KIRIBATI,MARAKEI
MZL,COLOMBIA,SANTAGUIDA
MZM,FRANCE,FRESCATY
MZN,PAPUA NEW GUINEA,MINJ
MZO,CUBA,MANZANILLO
MZP,NEW ZEALAND (AOTEAROA),MOTUEKA
MZQ,SOUTH AFRICA,MKUZE
MZR,AFGHANISTAN,MAZAR-I-SHARIF
MZS,MALAYSIA,MOSTYN
MZT,MEXICO,GEN RAFAEL BUELNA
MZU,INDIA,MUZAFFARPUR
MZV,MALAYSIA,"MULU, SARAWAK"
MZW,ALGERIA,MECHRIA
MZX,ETHIOPIA,MENA
MZY,SOUTH AFRICA,MOSSEL BAY
MZZ,UNITED STATES,MARION
NAA,AUSTRALIA,NARRABRI
NAB,UNITED STATES,ALBANY NAS
NAC,AUSTRALIA,NARACOORTE
NAD,COLOMBIA,MACANAL
NAE,BENIN,NATITINGOU
NAF,INDONESIA,BANAINA
NAG,INDIA,SONEGAON
NAH,INDONESIA,NAHA
NAI,GUYANA,ANNAI
NAJ,AZERBAIJAN,NAKHICHEVAN
NAK,THAILAND,NAKHON RATCHASIMA
NAL,RUSSIAN FEDERATION,NALCHIK
NAM,INDONESIA,NAMLEA
NAN,FIJI,NADI INTERNATIONAL
NAO,CHINA,NANCHONG
NAP,ITALY,CAPODICHINO
NAQ,GREENLAND,QAANAAQ
NAR,COLOMBIA,NARE
NAS,BAHAMAS,NASSAU INTERNATIONAL
NAT,BRAZIL,AUGUSTO SEVERO
NAU,FRENCH POLYNESIA,NAPUKA ISLAND
NAV,TURKEY,NEVSEHIR
NAW,THAILAND,NARATHIWAT
NAX,UNITED STATES,BARBERS POINT
NAY,CHINA,NANYUAN AIRPORT
NAZ,SOLOMON ISLANDS,NANA
NBA,PAPUA NEW GUINEA,NAMBAIYUFA
NBB,COLOMBIA,BARRANCOMINAS
NBC,RUSSIAN FEDERATION,NABEREVNYE CHELNY
NBG,UNITED STATES,NAS/ALVIN CALLENDAR
NBH,AUSTRALIA,NAMBUCCA HEADS
NBL,PANAMA,SAN BLAS
NBO,KENYA,JOMO KENYATTA INTERNATIONAL
NBP,UNITED STATES,BATTERY PK CITY/N. COV
NBR,AUSTRALIA,NAMBOUR
NBU,UNITED STATES,NAS
NBV,BRAZIL,CANA BRAVA
NBX,INDONESIA,NABIRE
NCA,TURKS AND CAICOS ISLANDS,NORTH CAICOS
NCE,FRANCE,COTE DAZUR INTERNATIONAL AIRPORT
NCG,MEXICO,NUEVA CASAS GRANDES
NCH,TANZANIA,NACHINGWEA
NCI,COLOMBIA,NECOCLI
NCL,UNITED KINGDOM,NEWCASTLE AIRPORT
NCN,UNITED STATES,NEW CHENEGA
NCO,UNITED STATES,NAS
NCP,PHILIPPINES,CUBI PT NAS
NCQ,UNITED STATES,ATLANTA NAS
NCR,NICARAGUA,SAN CARLOS
NCS,SOUTH AFRICA,NEWCASTLE
NCT,COSTA RICA,GUANACASTE
NCU,UZBEKISTAN,NUKUS
NCY,FRANCE,ANNECY-MEYTHE
NDA,INDONESIA,BANDANAIRA
NDB,MAURITANIA,NOUADHIBOU
NDC,INDIA,NANDED
NDD,ANGOLA,SUMBE
NDE,KENYA,MANDERA
NDF,ANGOLA,NDALATANDOS
NDG,CHINA,QIQIHAR
NDI,PAPUA NEW GUINEA,NAMUDI
NDJ,CHAD,NDJAMENA
NDK,MARSHALL ISLANDS,NAMDRIK ISLAND
NDL,CENTRAL AFRICAN REPUBLIC,NDELE
NDM,ETHIOPIA,MENDI
NDN,PAPUA NEW GUINEA,NADUNUMU
NDO,SPAIN,LA PALMA DEL CONDADO
NDP,UNITED STATES,ELLYSON NAS
NDR,MOROCCO,NADOR
NDS,AUSTRALIA,SANDSTONE
NDU,NAMIBIA,RUNDU
NDV,UNITED STATES,USN HELIPORT
NDY,UNITED KINGDOM,SANDAY
NDZ,GERMANY,CUXHAVEN
NEA,UNITED STATES,BRUNSWICK GOLDEN ISLES
NEC,ARGENTINA,NECOCHEA
NEF,RUSSIAN FEDERATION,NEFTEKAMSK
NEG,JAMAICA,NEGRIL
NEJ,ETHIOPIA,NEJJO
NEK,ETHIOPIA,NEKEMT
NEL,UNITED STATES,NAEC
NEN,UNITED STATES,OLF USN
NER,RUSSIAN FEDERATION,NERYUNGRI
NES,UNITED STATES,EAST 34TH ST LANDING
NET,BAHAMAS,NEW BIGHT
NEU,LAOS,SAM NEUA
NEV,SAINT KITTS AND NEVIS,NEWCASTLE
NEW,UNITED STATES,LAKEFRONT
NFB,UNITED STATES,DETROIT NAF
NFG,RUSSIAN FEDERATION,NEFTEYUGANSK
NFL,UNITED STATES,NAS
NFR,LIBYA,NAFOORA
NGA,AUSTRALIA,YOUNG
NGB,CHINA,LISHE INTERNATIONAL AIRPORT
NGC,UNITED STATES,NORTH RIM
NGD,VIRGIN ISLANDS (BRITISH),ANEGADA
NGE,CAMEROON,NGAOUNDERE
NGI,FIJI,NGAU ISLAND
NGL,SOUTH AFRICA,NGALA AIRFIELD
NGM,GUAM (USA),AGANA NAS
NGN,PANAMA,NARGANA
NGO,JAPAN,CENTRAIR (CENTRAL JAPAN INTERNATIONAL)
NGP,UNITED STATES,NAS
NGR,PAPUA NEW GUINEA,NINGERUM
NGS,JAPAN,NAGASAKI
NGU,UNITED STATES,NAS CHAMBERS
NGV,ANGOLA,NGIVA
NGW,UNITED STATES,CABANISS FIELD
NGX,NEPAL,MANANG
NGZ,UNITED STATES,NAS
NHA,VIET NAM,NHA TRANG
NHD,UNITED ARAB EMIRATES,MINHAD AB
NHF,SUDAN,NEW HALFA
NHK,UNITED STATES,PATUXENT RIVER NAS
NHS,PAKISTAN,NUSHKI
NHT,UNITED KINGDOM,NORTHOLT
NHV,FRENCH POLYNESIA,NUKU HIVA
NHX,UNITED STATES,BARIN OLF OSN
NHZ,UNITED STATES,NAS
NIA,LIBERIA,NIMBA
NIB,UNITED STATES,NIKOLAI
NIC,CYPRUS,NICOSIA INTERNATIONAL
NIE,UNITED STATES,NIBLACK
NIF,AUSTRALIA,NIFTY
NIG,KIRIBATI,NIKUNAU
NIK,SENEGAL,NIOKOLO KOBA
NIM,NIGER,NIAMEY
NIN,UNITED STATES,NINILCHIK
NIO,ZAIRE,NIOKI
NIP,UNITED STATES,JACKSONVILLE NAS
NIR,UNITED STATES,CHASE FIELD NAS
NIS,PAPUA NEW GUINEA,SIMBERI
NIT,FRANCE,NIORT
NIX,MALI,NIORO
NJA,JAPAN,ATSUGI NAS
NJC,RUSSIAN FEDERATION,NIZHNEVARTOVSK
NJK,UNITED STATES,EL CENTRO NAF
NKA,GABON,NKAN
NKB,AUSTRALIA,NOONKANBAH
NKC,MAURITANIA,NOUAKCHOTT
NKD,INDONESIA,SINAK
NKG,CHINA,LUKOU INTERNATIONAL AIRPORT
NKI,UNITED STATES,NAUKITI
NKL,ZAIRE,NKOLO
NKM,JAPAN,KOMAKI AFB
NKN,PAPUA NEW GUINEA,NANKINA
NKO,MADAGASCAR,ANKOKOAMBO
NKS,CAMEROON,NKONGSAMBA
NKU,LESOTHO,NKAUS
NKV,UNITED STATES,NICHEN COVE
NKX,UNITED STATES,MIRAMAR MCAS
NKY,CONGO,NKAYI
NLA,ZAMBIA,NDOLA
NLC,UNITED STATES,LEMOORE NAS (REEVES FIELD)
NLD,MEXICO,INTL QUETZALCOATL
NLE,UNITED STATES,JERRY TYLER MEMORIAL
NLF,AUSTRALIA,DARNLEY ISLAND
NLG,UNITED STATES,NELSON LAGOON
NLK,NORFOLK ISLAND,NORFOLK ISLAND
NLL,AUSTRALIA,NULLAGINE
NLP,SOUTH AFRICA,NELSPRUIT INTERNATIONAL
NLS,AUSTRALIA,NICHOLSON
NLU,MEXICO,SANTA LUCIA
NLV,UKRAINE,NIKOLAEV
NMA,UZBEKISTAN,NAMANGAN
NMB,INDIA,DAMAN
NME,UNITED STATES,NIGHTMUTE
NMG,PANAMA,SAN MIGUEL
NMN,PAPUA NEW GUINEA,NOMANE
NMP,AUSTRALIA,NEW MOON
NMR,AUSTRALIA,NAPPA MERRY
NMS,MYANMAR,NAMSANG
NMT,MYANMAR,NAMTU
NMU,MARSHALL ISLANDS,NAMU
NNA,MOROCCO,NAF
NNB,SOLOMON ISLANDS,SANTA ANA
NND,MOZAMBIQUE,NANGADE
NNG,CHINA,NANNING
NNI,NAMIBIA,NAMUTONI
NNK,UNITED STATES,NAKNEK
NNL,UNITED STATES,NONDALTON
NNM,RUSSIAN FEDERATION,NARYAN-MAR
NNR,IRELAND,CONNEMARA
NNT,THAILAND,NAN
NNU,BRAZIL,NANUQUE
NNX,INDONESIA,NUNUKAN
NNY,CHINA,NANYANG
NOA,AUSTRALIA,NOWRA
NOB,COSTA RICA,NOSARA BEACH
NOC,IRELAND,IRELAND WEST AIRPORT KNOCK
NOD,GERMANY,NORDEN
NOE,GERMANY,NORDDEICH
NOG,MEXICO,NOGALES
NOH,UNITED STATES,CHICAGO NAS
NOI,RUSSIAN FEDERATION,NOVOROSSIJSK
NOJ,RUSSIAN FEDERATION,NOJABRXSK
NOK,BRAZIL,NOVA XAVANTINA
NOL,UNITED STATES,NAKOLIK RIVER
NOM,PAPUA NEW GUINEA,NOMAD RIVER
NON,KIRIBATI,NONOUTI
NOO,PAPUA NEW GUINEA,NAORO
NOR,ICELAND,NORDFJORDUR
NOS,MADAGASCAR,FASCENE
NOT,UNITED STATES,NOVATO
NOU,NEW CALEDONIA,TONTOUTA
NOV,ANGOLA,HUAMBO
NOZ,RUSSIAN FEDERATION,NOVOKUZNETSK
NPA,UNITED STATES,PENSACOLA NAS
NPE,NEW ZEALAND (AOTEAROA),HAWKES BAY
NPG,PAPUA NEW GUINEA,NIPA
NPH,UNITED STATES,NEPHI
NPL,NEW ZEALAND (AOTEAROA),NEW PLYMOUTH
NPO,INDONESIA,NANGAPINOH
NPP,AUSTRALIA,NAPPERBY
NPT,UNITED STATES,STATE
NPU,COLOMBIA,SAN PEDRO URABA
NQA,UNITED STATES,MILLINGTON REGIONAL JETPORT
NQI,UNITED STATES,NAS
NQL,BRAZIL,NIQUELANDIA
NQN,ARGENTINA,NEUQUEN
NQT,UNITED KINGDOM,NOTTINGHAM AIRPORT
NQU,COLOMBIA,NUQUI
NQX,UNITED STATES,NAS
NQY,UNITED KINGDOM,NEWQUAY CORNWALL AIRPORT
NRA,AUSTRALIA,NARRANDERA
NRB,UNITED STATES,NS
NRC,UNITED STATES,AUX FIELD
NRD,GERMANY,NORDERNEY
NRE,INDONESIA,NAMROLE
NRG,AUSTRALIA,NARROGIN
NRI,UNITED STATES,SHANGRI-LA
NRK,SWEDEN,KUNGSANGEN
NRL,UNITED KINGDOM,NORTH RONALDSAY
NRM,MALI,NARA
NRN,GERMANY,WEEZE
NRR,PUERTO RICO,ROOSEVELT NAS
NRS,UNITED STATES,NAS
NRT,JAPAN,NEW TOKYO INTERNATIONAL AIRPORT
NRV,GUAM (USA),USCG SHORE STATION
NRY,AUSTRALIA,NEWRY
NSA,AUSTRALIA,NOOSA
NSB,BAHAMAS,NORTH SPB
NSE,UNITED STATES,WHITING FIELD NAS
NSF,UNITED STATES,ANDREWS NAF
NSH,IRAN,NOW SHAHR
NSI,CAMEROON,NSIMALEN INTERNATIONAL
NSM,AUSTRALIA,NORSEMAN
NSN,NEW ZEALAND (AOTEAROA),NELSON
NSO,AUSTRALIA,SCONE
NSP,PHILIPPINES,NAF
NST,THAILAND,NAKHON SI THAMMARAT
NSV,AUSTRALIA,NOOSAVILLE
NSX,VIRGIN ISLANDS (BRITISH),HOVERCRAFT/LAUNCH PT
NSY,ITALY,SIGONELLA NAF
NTA,FIJI,NATADOLA
NTB,NORWAY,NOTODDEN
NTC,MOZAMBIQUE,SANTA CAROLINA
NTD,UNITED STATES,POINT MUGU NAS (NAVAL BASE VENTURA COUNT
NTE,FRANCE,NANTES ATLANTIQUE
NTG,CHINA,NANTONG
NTI,INDONESIA,BINTUNI
NTJ,UNITED STATES,MANTI-EPHRAIM
NTL,AUSTRALIA,WILLIAMTOWN
NTM,BRAZIL,MIRACEMA DO NORTE
NTN,AUSTRALIA,NORMANTON
NTO,CAPE VERDE,SANTO ANTAO
NTQ,JAPAN,NOTO AIRPORT
NTR,MEXICO,TUXTLA GUTIERREZ
NTT,TONGA,KUINI LAVENIA
NTU,UNITED STATES,NAS
NTX,INDONESIA,NATUNA RANAI
NTY,SOUTH AFRICA,PILANESBERG
NUB,AUSTRALIA,NUMBULWAR
NUD,SUDAN,EN NAHUD
NUE,GERMANY,N|RNBERG
NUF,SRI LANKA,CASTLEREIGH RESERVOIR
NUG,PAPUA NEW GUINEA,NUGURIA
NUH,COLOMBIA,NUNCHIA
NUI,UNITED STATES,NUIQSUT
NUJ,IRAN,NOJEH
NUK,FRENCH POLYNESIA,NUKUTAVAKE
NUL,UNITED STATES,NULATO
NUN,UNITED STATES,SAUFLEY NAS
NUP,UNITED STATES,NUNAPITCHUK
NUQ,UNITED STATES,MOFFETT FIELD
NUR,AUSTRALIA,NULLARBOR
NUS,VANUATU,NORSUP
NUT,PAPUA NEW GUINEA,NUTUVE
NUU,KENYA,NAKURU
NUW,UNITED STATES,WHIDBEY ISLAND NAS (AULT FIELD)
NUX,RUSSIAN FEDERATION,NOVY URENGOY
NVA,COLOMBIA,LA MARGUITA
NVD,UNITED STATES,NEVADA
NVG,NICARAGUA,NUEVA GUINEA
NVI,UZBEKISTAN,NAVOI
NVK,NORWAY,FRAMNES
NVP,BRAZIL,NOVO ARIPUANA
NVR,RUSSIAN FEDERATION,YERIEVO (NOVGOROD SOUTHWEST)
NVS,FRANCE,NEVERS
NVT,BRAZIL,NAVEGANTES
NVY,INDIA,NEYVELI
NWA,COMOROS,MOHELI
NWH,UNITED STATES,PARLIN FIELD
NWI,UNITED KINGDOM,NORWICH INTERNATIONAL AIRPORT
NWP,CANADA,NS
NWS,UNITED STATES,PIER 11/WALL ST. SPB
NWT,PAPUA NEW GUINEA,NOWATA
NWU,BERMUDA,NAS
NXX,UNITED STATES,WILLOW GROVE NAS
NYE,KENYA,NYERI
NYG,UNITED STATES,QUANTICO NAS
NYI,GHANA,SUNYANI
NYK,KENYA,NANYUKI
NYM,RUSSIAN FEDERATION,NADYM
NYN,AUSTRALIA,NYNGAN
NYO,SWEDEN,SKAVSTA
NYU,MYANMAR,NYAUNG-U
NZA,ANGOLA,NZAGI
NZE,GUINEA,NZEREKORE
NZH,CHINA,MANZHOULI
NZO,KENYA,NZOIA
NZW,UNITED STATES,SOUTH WEYMOUTH
NZY,UNITED STATES,NORTH ISLAND NAS
OAG,AUSTRALIA,SPRINGHILL
OAJ,UNITED STATES,ALBERT J ELLIS
OAK,UNITED STATES,OAKLAND INTERNATIONAL AIRPORT
OAL,BRAZIL,CACOAL
OAM,NEW ZEALAND (AOTEAROA),OAMARU
OAN,HONDURAS,OLANCHITO
OAR,UNITED STATES,MARINA MUNICIPAL
OAX,MEXICO,XOXOCOTLAN
OBA,AUSTRALIA,OBAN
OBC,DJIBOUTI,OBOCK
OBD,INDONESIA,OBANO
OBE,UNITED STATES,COUNTY
OBF,GERMANY,OBERPFAFFENHOFEN
OBI,BRAZIL,OBIDOS
OBL,BELGIUM,ZOERSEL
OBM,PAPUA NEW GUINEA,MOROBE
OBN,UNITED KINGDOM,OBAN AIRPORT
OBO,JAPAN,OBIHIRO
OBS,FRANCE,VALS-LANAS
OBT,UNITED STATES,OAKLAND/COLISEUM STAT
OBU,UNITED STATES,KOBUK/WIEN
OBX,PAPUA NEW GUINEA,OBO
OBY,GREENLAND,ITTOQQORTOORMIIT
OCA,UNITED STATES,OCEAN REEF
OCC,ECUADOR,COCA
OCE,UNITED STATES,MUNICIPAL
OCF,UNITED STATES,TAYLOR FIELD
OCH,UNITED STATES,A L MANGHAM JR. REGIONAL
OCI,UNITED STATES,OCEANIC
OCJ,JAMAICA,BOSCOBEL
OCN,UNITED STATES,MUNICIPAL
OCV,COLOMBIA,AGUASCLARAS
OCW,UNITED STATES,WARREN FIELD
ODA,CENTRAL AFRICAN REPUBLIC,OUADDA
ODB,SPAIN,CORDOBA
ODD,AUSTRALIA,OODNADATTA
ODE,DENMARK,BELDRINGE
ODH,UNITED KINGDOM,RAF STATION
ODJ,CENTRAL AFRICAN REPUBLIC,OUANDA DJALLE
ODL,AUSTRALIA,CORDILLO DOWNS
ODN,MALAYSIA,LONG SERIDAN
ODR,AUSTRALIA,ORD RIVER
ODS,UKRAINE,ODESSA INTERNATIONAL
ODW,UNITED STATES,OAK HARBOR
ODY,LAOS,OUDOMXAI
OEA,UNITED STATES,ONEAL
OEC,INDONESIA,OCUSSI
OEL,RUSSIAN FEDERATION,OREL
OEM,SURINAME,VINCENT FAYKS
OEO,UNITED STATES,MUNICIPAL
OER,SWEDEN,ORNSKOLDSVIK
OES,ARGENTINA,SAN ANTONIO OESTE
OFI,COTE D'IVOIRE (IVORY COAST),OUANGO FITINI
OFJ,ICELAND,OLAFSFJORDUR
OFK,UNITED STATES,STEFAN FIELD
OFU,AMERICAN SAMOA,OFU
OGA,UNITED STATES,SEARLE FIELD
OGB,UNITED STATES,MUNICIPAL
OGD,UNITED STATES,MUNICIPAL
OGE,PAPUA NEW GUINEA,OGERANANG
OGG,UNITED STATES,KAHULUI
OGL,GUYANA,OGLE
OGN,JAPAN,YONAGUNI JIMA
OGO,COTE D'IVOIRE (IVORY COAST),ABENGOUROU
OGR,CHAD,BONGOR
OGS,UNITED STATES,OGDENSBURG
OGV,NAMIBIA,ONGAVA GAME RESERVE
OGX,ALGERIA,AIN BEIDA
OGZ,RUSSIAN FEDERATION,VLADIKAVKAZ
OHA,NEW ZEALAND (AOTEAROA),ROYAL AIR FORCE BASE
OHC,UNITED STATES,AFS
OHD,MACEDONIA,OHRID
OHI,NAMIBIA,OSHAKATI
OHO,RUSSIAN FEDERATION,OKHOTSK
OHP,UNITED KINGDOM,HELIPORT
OHR,GERMANY,WYK AUF FOEHR
OHT,PAKISTAN,KOHAT
OIA,BRAZIL,OURILANDIA
OIC,UNITED STATES,EATON
OIL,UNITED STATES,SPLANE MEMORIAL
OIM,JAPAN,OSHIMA
OIR,JAPAN,OKUSHIRI
OIT,JAPAN,OITA
OJC,UNITED STATES,JOHNSON EXECUTIVE
OKA,JAPAN,NAHA
OKB,AUSTRALIA,FRASER ISLAND
OKC,UNITED STATES,WILL ROGERS WORLD AIRPORT
OKD,JAPAN,OKADAMA
OKE,JAPAN,OKINO ERABU
OKF,NAMIBIA,OKAUKUEJO
OKG,CONGO,OKOYO
OKH,UNITED KINGDOM,COTTESMOR RAF
OKI,JAPAN,OKI ISLAND
OKJ,JAPAN,OKAYAMA
OKK,UNITED STATES,KOKOMO
OKL,INDONESIA,OKSIBIL
OKM,UNITED STATES,OKMULGEE
OKN,GABON,OKONDJA
OKO,JAPAN,YOKOTA AFB
OKP,PAPUA NEW GUINEA,OKSAPMIN
OKQ,INDONESIA,OKABA
OKR,AUSTRALIA,YORKE ISLAND
OKS,UNITED STATES,OSHKOSH
OKT,RUSSIAN FEDERATION,OKTIABRSKIJ
OKU,NAMIBIA,MOKUTI LODGE
OKV,PAPUA NEW GUINEA,OKAO
OKY,AUSTRALIA,OAKEY
OLA,NORWAY,ORLAND
OLB,ITALY,COSTA SMERALDA
OLD,UNITED STATES,OLD TOWN
